Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
4.240937862387627,1.5124320691765412,0.06605861309882201,4.87774403866356,0.4390919425231136,37999.99999999996,-103.4831377844608,0.047523196648058555
6.174782264467101,1.1053607535376022,0.09426989550765573,4.845787145893997,0.24880468441832757,37999.999999999985,-103.48483157544277,0.04468883143301604
2.3573212163243604,2.0200399773001463,0.03639350000773438,4.981950619940881,0.9483899303886143,37999.99999999997,-103.48541713994007,0.04748358882117999
2.8614587443204518,1.7742661334038494,0.045585006355335266,4.411111560400118,0.7120347592171454,37999.99999999999,-103.48614786731551,0.05277670868112494
4.373169356705078,1.2355160353535333,0.06746026065298753,4.3194059627019605,0.37243616528624457,37999.99999999996,-103.48620389310646,0.038627436662173935
5.3509388072644635,1.1417899696063267,0.08594012351591332,4.169013811212023,0.28988164091625723,37999.99999999999,-103.48662263255413,0.0371789299057043
3.364438682932278,1.672783207667351,0.0532795546906118,4.55087503402878,0.585308487572672,38000.00000000004,-103.48723100331922,0.046026899541744715
3.4603049546444864,1.5524974134083263,0.052810256438694324,5.201825273698424,0.5422013619774977,38000.00000000003,-103.4880283642527,0.03539240874711929
3.4727926357964742,1.632580181084441,0.05378703136724133,4.774278756544297,0.565031390902247,38000.000000000044,-103.48950705483826,0.040080725674064
5.923303971214353,1.086829190345263,0.08977936964069104,4.149866921390157,0.254588478276861,38000.00000000004,-103.48961050501407,0.03554806775424109
9.702554110751896,0.9924264608521696,0.14997911543629838,5.057083917489164,0.1480890085330783,38000.000000000015,-103.48975132125038,0.035576296851013836
4.795862866810485,1.2916411968880521,0.07460509397386733,4.864849778157172,0.34836880720968844,38000.00000000005,-103.4911711160143,0.03160478420957681
5.434989044553078,1.0856075075330072,0.08125394018638346,4.111052529561214,0.2790021774384447,37999.99999999998,-103.49168546773898,0.05408152081952542
2.5732448296286945,1.9775163118320338,0.04020573584651179,4.6766173778913585,0.8596699393770572,38000.00000000002,-103.4917638572437,0.05353683076860612
13.097089632731942,0.7738679970184059,0.19813607672344655,4.51858812767678,0.09732656135353317,38000.000000000015,-103.4921773184032,0.03596110120242512
11.329438755396936,0.8331906741606483,0.16916315330806161,4.67876078299582,0.11517131448149362,38000.00000000004,-103.4926578889326,0.03558783094118329
3.2402477945696573,1.5747708625596901,0.05093603843393065,4.103094725201776,0.5843672290759125,38000.00000000001,-103.49273395358938,0.040249028832406705
11.594831572012303,0.7872686674244286,0.17968042258570743,4.369562896150428,0.10843788726841978,38000.000000000015,-103.492903781496,0.046193570143225435
6.33289121537777,1.2611807138910927,0.10049475698629715,4.891547849242697,0.2622089034544669,38000.00000000001,-103.49356936659083,0.046340598874433675
2.949529204638109,1.548584727329379,0.046286280605225584,4.283421861521885,0.6368600627768922,37999.99999999999,-103.49402840426552,0.0359209443720588
2.5998004186652137,2.198350657774177,0.04011571598468742,5.285541049667952,0.9077551499264072,38000,-103.49474186280308,0.04167498761190286
7.2314607841788305,1.0580246312020647,0.11162354867095321,4.771707084147669,0.20762559013672224,38000.00000000003,-103.4950814390494,0.04621924146109455
4.276331172560309,1.4821743492297343,0.06869495609527414,4.754228981762561,0.42366010082105493,37999.99999999997,-103.49548229967442,0.04959164323326519
12.050768209161076,0.7820364120254848,0.18460844154436185,4.365894335473725,0.10474632022272959,38000.00000000002,-103.49575343650999,0.044063755230991666
10.458023677179535,0.8744187984136895,0.15882418692309375,4.840469579899772,0.13033861389941062,38000.00000000006,-103.49589520977776,0.047717075250183955
13.399208711235053,0.7490221338705481,0.20461966467373716,5.025852681819493,0.09230365469924942,38000.00000000001,-103.49765489075375,0.05494472959136799
4.586083114973203,1.3291078209434193,0.0723623845184856,4.671251320139541,0.37273961423403307,37999.99999999998,-103.49829386518753,0.046336954039299834
2.613849525656822,2.1814034545845997,0.04181844440023062,4.713670465801436,0.9007729620126729,38000.00000000002,-103.49914148290931,0.027899994280407237
11.737757332490816,0.8220522149000731,0.18415804158004798,4.7420825198728656,0.11050604441190943,38000.00000000002,-103.49986884200142,0.03437146655451658
9.121453946147312,0.8098165739869738,0.1438307923207203,3.9737231462190614,0.14023997698410465,37999.99999999998,-103.50152757219435,0.0453978103361873
6.311438694784506,1.0898824319476903,0.0937288958925516,4.295193783444791,0.2410516416272377,37999.99999999997,-103.50199922651485,0.036703958966701734
5.465687588016575,1.3170970115871652,0.0881104891559733,4.265563831236547,0.3095600907644926,37999.99999999997,-103.50229439130325,0.022700527870951066
2.866347487647521,1.8884186986269467,0.04553522314519415,4.44899829033157,0.7459130776602849,37999.999999999985,-103.50262279677568,0.05337692875650586
6.454954327971583,0.9770546799310807,0.1007942374191291,4.160576487717491,0.21940505584283532,37999.999999999985,-103.50322522178695,0.03697269964861677
8.57709756337932,0.857016167877424,0.1341570112815572,4.191101301739493,0.1541291231824892,38000.00000000002,-103.50345881715805,0.05254390261579968
12.89627704227345,0.6968703791955491,0.19479860431079715,4.065383520136129,0.09388466488941133,38000.000000000015,-103.5060434854784,0.029224483067674587
8.71333520151437,0.8986961631237766,0.13855975948768243,3.98425748913868,0.15405413579778926,38000,-103.50604464816176,0.04738006368112442
3.2410669821688933,1.7226160555003207,0.04973966305003206,5.024665932940682,0.6283099591529898,38000,-103.50691688389219,0.059082303945259394
7.848788397149642,0.8865681666697137,0.12015563161631646,4.160989768178139,0.171121736037093,37999.99999999998,-103.5072971187122,0.03605346726666634
2.912798307033604,1.8576595840441141,0.04507579712306539,4.719321878065844,0.7325830108747765,37999.999999999985,-103.50823575922959,0.03931348408483219
4.758172819296791,1.274957009706684,0.07426626300684257,4.044565277665947,0.35126922951647727,38000,-103.50842787598326,0.05948794360662039
2.526800554157445,1.950935424258026,0.03930903666969482,5.308379007518685,0.8676340388184604,38000.00000000007,-103.50847199403256,0.05621617315654591
7.643279013171625,0.9232777121501442,0.11959663761262132,4.241886935780329,0.17822861059150946,37999.99999999998,-103.50877586365098,0.051979142643419726
11.116522753175126,0.7497018065433223,0.1731605038325317,4.202988117598957,0.11027553741947643,38000.000000000044,-103.50889364462891,0.0406496409217365
2.2364718212626165,1.994288212519101,0.035560179775195294,4.3894386593663235,0.9863486166859148,38000.00000000003,-103.50897833538927,0.04315560178285796
9.383607525890879,0.9778171699901157,0.14417464119777618,4.89660501991997,0.1513533096961733,38000.00000000001,-103.50947097374629,0.05202061599310322
9.444716278495283,0.8288882574171093,0.14950395095942576,5.000775940738893,0.13697850843436551,37999.99999999996,-103.50954609345678,0.021247271286119074
8.8135606584676,0.8386972777761786,0.13460578194593475,3.8295974459196107,0.14741702475897303,38000.000000000015,-103.51027657502664,0.04628479115772195
5.793348606111397,0.9426771155387732,0.08958815248364198,3.580976430118135,0.23889366417104219,37999.999999999956,-103.51103483589256,0.04089592811203975
5.595426052728523,1.0388282557321,0.08744903637457455,3.9735418894316665,0.2616962422526837,38000.00000000001,-103.5114917907433,0.04043782625835079
